;user_id;gender;registration_ageKat;country;work_country;work_district;job_position;job_sector;company_size;job_status_edu_parttime;job_status_edu_fulltime;job_status_employed_parttime;job_status_employed_fulltime;job_status_selfemployed;job_status_houskeeping;job_status_unemployed;job_status_retired;educational_achievement
8608;584e7edc05b8c530651219fd;m;30-39;DE;CH;BS;Fachspezialist/-in;Erbringung von sonstigen Dienstleistungen;250.0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8611;584e91fa05b8c53065121e7c;f;40-49;CH;CH;SZ;Sachbearbeiter/-in;Baugewerbe/Bau;249.0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;Berufliche Grundbildung
8612;584e987905b8c53065121f35;f;30-39;CH;CH;BE;Fachspezialist/-in;Erziehung und Unterricht;249.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
8615;584eb89805b8c5306512216f;m;20-29;DE;DE;BW;Sachbearbeiter/-in;Erbringung von sonstigen Dienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
8618;584ee10b05b8c53065122451;m;30-39;CH;CH;ZH;Fachspezialist/-in;Gastgewerbe/Beherbergung und Gastronomie;250.0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Bachelor
8625;5850073e05b8c55650d88af3;m;40-49;CH;CH;ZH;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Verarbeitendes Gewerbe/Herstellung von Waren;250.0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
8632;58515ab705b8c573e9eefdc5;f;20-29;CH;CH;ZH;Sachbearbeiter/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
8633;58517bb805b8c573e9ef01ae;f;30-39;CH;CH;LU;Fachspezialist/-in;Gesundheits- und Sozialwesen;249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
8636;5852945205b8c51a44d5ccd3;f;30-39;CH;CH;ZH;Fachspezialist/-in;Gesundheits- und Sozialwesen;49.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
8640;5852bf0b05b8c51a44d5d2c4;f;30-39;CH;CH;BE;Sachbearbeiter/-in;Erziehung und Unterricht;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufs- oder Fachmaturität
8641;5852d3b505b8c51a44d5d532;f;30-39;CH;CH;BE;Fachspezialist/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";49.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Doktorat, Habilitation
8642;5852ffec05b8c51a44d5d9ff;m;30-39;DE;CH;BS;untere Führungsstufe (z.B. Teamleitung);Information und Kommunikation;9.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8644;5853e60c05b8c53e0346d0bc;m;20-29;CH;CH;GR;Fachspezialist/-in;Baugewerbe/Bau;49.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Berufliche Grundbildung
8646;5854126905b8c563ea3da88b;m;30-39;DE;CH;ZH;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8647;585454f705b8c54703b06231;m;30-39;CH;CH;ZH;Fachspezialist/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Doktorat, Habilitation
8651;5856b25d05b8c5639b7ba385;f;20-29;CH;CH;LU;Sachbearbeiter/-in;Kunst, Unterhaltung und Erholung;1.0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;Bachelor
8653;5856d50b05b8c52f81ef06e1;f;30-39;CH;CH;ZH;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Erziehung und Unterricht;49.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
8655;5857a02c05b8c5647d486b4d;f;30-39;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);"Handel; Instandhaltung und Reparatur von Kraftfahrzeugen";250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8657;5857af2605b8c5647d486d05;m;30-39;CH;CH;BE;Fachspezialist/-in;"Wasserversorgung; Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen";250.0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8667;58590f7805b8c5200e824742;m;40-49;CH;CH;SG;untere Führungsstufe (z.B. Teamleitung);Erbringung von Finanz- und Versicherungsdienstleistungen;249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8668;5859416905b8c5200e824773;f;20-29;CH;CH;ZG;Sachbearbeiter/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;Berufs- oder Fachmaturität
8670;58599f3a05b8c5200e824c21;f;20-29;CH;CH;ZH;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;9.0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8673;585a438405b8c5158260fc74;m;40-49;CH;CH;ZH;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Information und Kommunikation;49.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8677;585abebe05b8c515826100e4;f;20-29;CH;CH;SZ;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Gesundheits- und Sozialwesen;249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8678;585b881505b8c557e19bafae;f;50-59;IT;CH;ZH;Sachbearbeiter/-in;Erbringung von sonstigen Dienstleistungen;249.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Berufliche Grundbildung
8679;585ba4e405b8c5519fdb38b8;f;30-39;CH;CH;ZH;Sachbearbeiter/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8687;58622edd05b8c546b596d53a;m;30-39;CH;CH;LU;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Erbringung von sonstigen Dienstleistungen;250.0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8689;586262d105b8c546b596d8dc;f;20-29;CH;CH;TG;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8690;58627ff005b8c57d11baf223;m;50-59;CH;CH;BE;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Erbringung von sonstigen Dienstleistungen;249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
8691;5862b22a05b8c57d11baf224;f;10-19;CH;CH;GR;Sachbearbeiter/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
8692;586388e705b8c52a9e38960f;m;40-49;CH;CH;BE;Fachspezialist/-in;Erziehung und Unterricht;249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8693;5863d48b05b8c558308741ae;m;20-29;CH;CH;ZH;Sachbearbeiter/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Berufs- oder Fachmaturität
8696;5863e9fa05b8c55830874272;f;40-49;CH;CH;ZH;Fachspezialist/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Berufs- oder Fachmaturität
8697;5863ef1605b8c558308742c5;f;40-49;CH;CH;BE;Fachspezialist/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";249.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Bachelor
8699;5865345c05b8c57d33109fc1;f;20-29;PT;CH;ZH;Sachbearbeiter/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
8701;5865816605b8c5743a4d7fd1;f;20-29;CH;CH;BE;Fachspezialist/-in;"Handel; Instandhaltung und Reparatur von Kraftfahrzeugen";250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8702;5866144105b8c529dec23d36;m;50-59;CH;CH;LU;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Verarbeitendes Gewerbe/Herstellung von Waren;249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8703;58666d3505b8c54ab0cdaf09;m;40-49;CH;CH;BE;Fachspezialist/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8705;5866d86105b8c54ab0cdb198;m;20-29;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8706;58678b8805b8c50a74e9ff86;m;20-29;CH;CH;VS;Fachspezialist/-in;Verarbeitendes Gewerbe/Herstellung von Waren;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8713;586bb77205b8c51bcdf4c073;m;40-49;FR;FR;J;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Energieversorgung;1.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8714;586bc0a605b8c51bcdf4c08e;m;50-59;CH;CH;AG;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Erbringung von sonstigen Dienstleistungen;9.0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;2- bis 3-jährige Diplommittelschule, Verkehrsschule, Fachmittelschule FMS
8715;586cb76805b8c538bf5d0d3b;f;20-29;CH;CH;BE;Sachbearbeiter/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8716;586cccf205b8c538bf5d0e67;m;50-59;CH;CH;ZH;Fachspezialist/-in;Erziehung und Unterricht;249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
8718;586d253c05b8c571b29540d7;f;40-49;CH;CH;ZH;Fachspezialist/-in;Gesundheits- und Sozialwesen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
8720;586e36f105b8c517bb9902f0;m;20-29;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Information und Kommunikation;49.0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;Gymnasiale Maturität, Lehrkräfte-Seminar
8721;586e3cc105b8c517bb9903e1;m;40-49;CH;CH;BE;untere Führungsstufe (z.B. Teamleitung);Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
8724;586e585705b8c517bb9905fd;f;30-39;CH;CH;ZH;Fachspezialist/-in;Erbringung von sonstigen wirtschaftlichen Dienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
8727;586eb8e705b8c517bb99071d;m;50-59;CH;CH;SG;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Energieversorgung;49.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8731;586fa9f505b8c5068734900b;f;20-29;CH;CH;ZH;Fachspezialist/-in;Gesundheits- und Sozialwesen;250.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Berufs- oder Fachmaturität
8732;586fb33405b8c506873490ed;m;30-39;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Baugewerbe/Bau;49.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8734;5870de7705b8c5785d6c107d;f;30-39;CH;CH;BE;Fachspezialist/-in;Erziehung und Unterricht;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8737;5871749f05b8c509b19ddada;m;20-29;CH;CH;AG;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Verkehr und Lagerei;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;2- bis 3-jährige Diplommittelschule, Verkehrsschule, Fachmittelschule FMS
8739;5872298905b8c569302e8cff;m;40-49;CH;CH;ZH;Fachspezialist/-in;Erbringung von sonstigen Dienstleistungen;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8740;58724e2505b8c569302e90ce;m;40-49;DE;CH;BL;Fachspezialist/-in;"Handel; Instandhaltung und Reparatur von Kraftfahrzeugen";249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8742;5872ae3b05b8c569302e96bd;f;40-49;CH;CH;ZH;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8744;5873679d05b8c53ed8f129c0;m;40-49;CH;CH;NW;Sachbearbeiter/-in;Erbringung von sonstigen wirtschaftlichen Dienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
8746;5873bb2405b8c57bc1c72b6a;f;20-29;CH;CH;ZH;Sachbearbeiter/-in;Erbringung von sonstigen Dienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufs- oder Fachmaturität
8747;5873be3d05b8c54d08fd34ea;m;50-59;CH;CH;BE;Fachspezialist/-in;Erziehung und Unterricht;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8748;5873c07f05b8c54d08fd3503;f;30-39;CH;CH;ZH;Sachbearbeiter/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8749;5873ccc805b8c54d08fd3564;f;40-49;CH;CH;ZH;Fachspezialist/-in;Erziehung und Unterricht;249.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8750;58747c5505b8c5564f0da5cc;f;30-39;CH;CH;BE;Sachbearbeiter/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
8752;5874b55505b8c5419adba368;f;30-39;CH;CH;BE;Fachspezialist/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8754;5874dbb305b8c5419adba3fb;m;20-29;CH;CH;SG;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
8757;587540f705b8c553c3ef8cb8;f;30-39;CH;CH;SG;Fachspezialist/-in;Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
8761;587607fd05b8c55e67e0b75e;m;30-39;CH;CH;BE;Fachspezialist/-in;Information und Kommunikation;250.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Bachelor
8765;58764c7405b8c503057a0ba0;m;40-49;CH;CH;SG;Sachbearbeiter/-in;Erbringung von sonstigen Dienstleistungen;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
8768;58768d0a05b8c503057a103d;f;20-29;CH;CH;ZH;Sachbearbeiter/-in;Gastgewerbe/Beherbergung und Gastronomie;249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
8775;58787d8805b8c548b94a22c0;m;30-39;CH;CH;TG;untere Führungsstufe (z.B. Teamleitung);Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8776;5878910705b8c548b94a23bf;f;40-49;CH;CH;BE;Sachbearbeiter/-in;Information und Kommunikation;250.0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;Berufliche Grundbildung
8778;5878db4505b8c548b94a27a8;f;20-29;CH;CH;LU;Sachbearbeiter/-in;Gesundheits- und Sozialwesen;9.0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;2- bis 3-jährige Diplommittelschule, Verkehrsschule, Fachmittelschule FMS
8780;5878febf05b8c548b94a2b2c;m;50-59;CH;CH;BE;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Information und Kommunikation;49.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8787;587b9a2805b8c56e98a2f9c6;m;30-39;CH;CH;ZH;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Baugewerbe/Bau;250.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Höhere Fachschule lusive Nachdiplome
8790;587c8d4105b8c53b84c49ef1;f;30-39;CH;CH;ZH;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
8791;587ccc7405b8c53b84c4a0d0;m;20-29;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
8793;587ce4ac05b8c53b84c4a19a;f;40-49;DE;CH;AG;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Information und Kommunikation;249.0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8796;587cf37e05b8c53b84c4a30a;f;20-29;PT;CH;TG;Sachbearbeiter/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
8797;587d018e05b8c53b84c4a527;m;40-49;AT;AT;2;Fachspezialist/-in;Baugewerbe/Bau;49.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
8798;587dd7f805b8c5472234c48d;f;30-39;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
8800;587e42c705b8c5472234c657;m;40-49;CH;CH;SO;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Verarbeitendes Gewerbe/Herstellung von Waren;49.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8801;587e509905b8c5346f493f00;m;30-39;DE;US;AL;Sachbearbeiter/-in;Verarbeitendes Gewerbe/Herstellung von Waren;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8803;587e67d105b8c5346f494232;f;20-29;CH;CH;TG;Fachspezialist/-in;Erziehung und Unterricht;49.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8807;587f464a05b8c53fd1c00de9;m;30-39;CH;CH;ZH;Fachspezialist/-in;Information und Kommunikation;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8809;587f81ca05b8c502669ccf4d;f;50-59;CH;CH;BS;Fachspezialist/-in;Erbringung von sonstigen Dienstleistungen;49.0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8810;587fc42305b8c51c4e0b186d;f;30-39;CH;CH;ZH;Fachspezialist/-in;Gesundheits- und Sozialwesen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
8814;58807dbc05b8c56ff1bc5d0c;m;30-39;CH;CH;ZH;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
8818;5880d1e305b8c503ca5f3275;f;40-49;CH;CH;SO;Sachbearbeiter/-in;Erbringung von sonstigen Dienstleistungen;9.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1-jährige Vorlehre, 1-jährige allgemeinbildende Schule, 10. Schuljahr
8819;5880dca305b8c51d50e27b63;f;40-49;CH;CH;ZH;Sachbearbeiter/-in;Gesundheits- und Sozialwesen;250.0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;Berufliche Grundbildung
8821;5880e12b05b8c51d50e27bb0;m;50-59;CH;CH;ZH;Sachbearbeiter/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
8823;5881079f05b8c51d50e27cf3;f;30-39;AT;CH;ZH;Fachspezialist/-in;Gesundheits- und Sozialwesen;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8825;5881237b05b8c51d50e28074;f;40-49;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Erziehung und Unterricht;250.0;1,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8827;5881e00405b8c54ba663d005;f;20-29;CH;CH;ZH;Fachspezialist/-in;Gesundheits- und Sozialwesen;249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8828;5881ff5505b8c54ba663d064;f;20-29;CH;CH;AG;Sachbearbeiter/-in;Gesundheits- und Sozialwesen;49.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Bachelor
8833;588357c205b8c50fefbffd4e;m;30-39;TR;CH;TG;Fachspezialist/-in;Information und Kommunikation;250.0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Berufliche Grundbildung
8834;588384ee05b8c50fefbffdbd;m;20-29;CH;CH;SZ;untere Führungsstufe (z.B. Teamleitung);Verarbeitendes Gewerbe/Herstellung von Waren;249.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
8836;58847b3005b8c539c951e986;f;40-49;CH;CH;SZ;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";49.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8839;5884ef8e05b8c53836d8141d;f;30-39;DE;CH;ZH;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8840;5885261f05b8c5101d5eeed7;f;40-49;CH;CH;LU;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Gesundheits- und Sozialwesen;250.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8841;5885a0d305b8c52b0b41c607;m;40-49;CH;CH;ZH;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
8843;5885cc8d05b8c52b0b41ca44;m;30-39;CH;CH;ZH;Fachspezialist/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Berufliche Grundbildung
8850;588600c305b8c52b0b41cfbf;m;30-39;CH;CH;TG;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
8851;5886029f05b8c52b0b41d000;m;30-39;CH;CH;TG;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
