;user_id;file_name;reasons;emotions;strengths;utilization;story
571;5a93d58c05b8c53bac45ae05;abstrakt-pixabay-12_buddha.jpg;Frieden, Ruhe;Frieden;Innere Ruhe;Wenn Unruhe in meinem Geist vorhanden ist, kann ich dieses Bild anschauen.;Ein Mann hat eine lange Meditation in einem Wald gemacht. Während dieser hat er viel Freude und Frieden in seinem Herzen erlebt. Dann ist er aufgestanden, hat die Schönheit der Natur bewundert und ist nach Hause zu seiner Familie gegangen.
572;5c93b8ea9fdb05101b9d4e58;landschaft-pixabay-4_park_bank.jpg;Es sieht friedlich aus. ;Ruhe, Frieden und dass es schön ist. ;Natur und Ruhe. ;Wenn ich nach draussen gehe um zu spazieren. ;Julie atmet tief ein. Der Geruch von frischem Gras und feuchtem Holz dringt in ihre Nase. Mit langen Schritten schreitet sie den Kiesweg hinab, in Richtung des kleinen Teichs. Um die Ecke kann sie ihn schon sehen. Eine Holzbank steht davor – und zum Glück ist niemand weit und breit zu sehen. Um sie herum ist nur das Zwitschern der Vögel zu hören, das Rascheln der Baumkronen und das entfernte Rauschen der Strasse. Sie kann gar nicht glauben, dass niemand im Park ist – oder zumindest nicht in diesem Teil. Obwohl, eigentlich macht es ja doch ein wenig Sinn. Denn wer hat an einem Donnerstagnachmittag schon Zeit um müssig spazieren zu gehen? Julie hätte es auf jeden Fall nicht. Nein, sie sollte eigentlich nicht hier sein. Nicht einmal ansatzweise. Doch trotzdem schreitet sie den Weg entlang und versucht die Geräusche des Parks zu absorbieren und zu geniessen. Versuchen bleibt hier das Stichwort, denn in Julies Kopf spielen ihre Gedanken lauthals ein schallendes Rockkonzert. Einer nach dem anderen jagt durch ihren Kopf und bevor sie ihn zu Ende gedacht hat, folgt der nächste und übertönt den ersten.   Doch warum ist sie überhaupt hier, obwohl sie es nicht sein sollte? Julie sollte eigentlich in der Tanzschule sein. Seit sie klein war, wollte sie nur eines: Tanzen. Der Weg dorthin war und ist steinig. Ihre Eltern waren mehr als unglücklich über ihren Wunsch und versuchten alles, sie davon abzuhalten. Doch Julie blieb hartnäckig. Inzwischen ist sie weit gekommen. Sie ist Studentin an der renommiertesten Tanzschule ihres Landes, konnte schon an einigen Auftritten mitwirken und fühlt sich ihrem Traum stetig ein Stückchen näher. Blutende Füsse und Muskeln, die vor Schmerzen schreien, nimmt sie dafür gerne in Kauf. Auch der – von den Lehrern auch mit entfachte – Konkurrenzkampf unter den Tänzerinnen versucht sie bei ihrem Training abzugrenzen. Doch heute war der Tag, den alle Studenten und –innen fürchten. Jeden Monat kommt Frau Monnet mit einem hexen-ähnlichen Grinsen in die Klasse, in ihrer Hand: eine Waage. Es ist wie ein öffentliche Spiessrutenlauf. Nach einander müssen alle auf die Waage stehen. Wer das vorgegebene Maximalgewicht überschreitet, blickt in sekundenschnelle in die zusammengekniffenen Augen von Frau Monnet. So erging es auch Julie. Ganze 500 Gramm war sie zu schwer. 500 Gramm. Eine lächerliche Zahl. Und doch genug um nach draussen geschickt zu werden.  «10 km Joggen – und denk gar nicht daran ins Training zu kommen bevor du nicht abgenommen hast!», schnauzte Frau Monnet sie an, während die Klasse betreten schwieg – oder sich ins Fäustchen lacht. Wer weiss schon wirklich, was alle denken.   Julie erreicht die hölzerne Bank am Teich. Seufzend setzt sie sich hin. Die 10 Kilometer Joggen haben sie ausgelaugt. Ihr Atem kommt ein wenig stossweise und sie spürt die Erschöpfung in all ihren Gliedern. Doch der Teich beruhigt sie. Eine Ente landet geräuschvoll auf dem See und schwimmt zu der kleinen Gruppe ihrer Artgenossen. Das freudige Quaken unterbricht die Grillen in der Wiese. Julie weiss, morgen wird sie wieder Joggen. Bis sie wirklich wieder zurück kann. Und wieder vor der albtraumeinflössenden Waage steht. Doch wenn sie hier sitzt, scheint dies alles nicht so schlimm. Frau Monnet, die Waage und ihre unsichere Zukunft haben wie einen luftig, fein duftenden Schleier bekommen. Sie beschliesst noch ein wenig hier zu bleiben. Bis die Sonne hinter den Wipfeln verschwindet und die Kälte immer mehr in ihre Knochen vordringt. Morgen ist ein anderer Tag. Und hey, immerhin kann sie nach dem Joggen wieder hierherkommen. Ein Lächeln breitet sich auf ihrem Gesicht aus. Ja, morgen und auch sonst wird sie hierherkommen – einfach vielleicht mit einer Thermoskanne voller Tee.
573;599153fd05b8c56c1a9ad793;erwachsene-pixabay-01_gipfel1.jpg;Kraft, Energie, Stille, Freiheit;Freude, Wärme und Glück;Innere Kraft schöpfen Sich selber vertrauen Optimistisch bleiben Sich nicht von anderen abhängig machen Alleine bedeutet nicht = einsam;Auch ich brauche Kraftorte in der Natur kombiniert mit Bewegung und Ruhe um meine Ressourcen zu aktivieren.;Die abgebildete Frau ist in einem fremden Land auf Reisen, erkundet die Landschaft, lernt die neue Kultur kennen und geniesst ihre Freiheit. Sie braucht etwas Abstand von ihrem bisherigen Leben und sie sieht die Reise als Chance. Für sie ist es an der Zeit für einen Neuanfang und sie will sich neu orientieren. Auf ihrer Reise will sie herausfinden, was sie will. Den Berg zu besteigen hat sie sich als Tagesziel gesetzt. Glücklich darüber, die Herausforderung gemeistert zu haben, geniesst sie die Aussicht. Es ist ein tolles, erfüllendes Gefühl. Mit Optimismus blickt sie auf ihre Zukunft und kann mit ihrer Vergangenheit Frieden schliessen.
574;5583e70b7a68616fe9005ac4;fortbewegung-pixabay-fr03_desert.jpg;Kameradschaft, körperliche Anstrengung, Adrenalin, Zufriedenheit;körperliche Müdigkeit, Glück, Zufriedenheit;viele eigene Erinnerungen in ähnlichen Situationen, Kameradschaft, zusammen eine Leistung/Anstrengung vollbringen, körperliche Herausforderungen meistern, mit anderen zusammen, Natur erleben;"sich Inseln organisieren, in denen Kraft getankt werden kann. Das tut gut im Moment des ERlebens und die GEfühle können in der Erinnerung immer wieder hervorgeholt und abgerufen werden. Während der Anstrengung vollkommen bei sich zu sein, da die Herausforderung die volle Konzentration erfordert und keine ""Alltagsprobleme"" gewälzt werden können.";Die Gruppe der Mountain Biker kennt sich schon lange. Einmal im Jahr machen sie eine mehrtägige Tour zusammen. Die Tour ist ein Highlight im Jahreskalender aller Teilnehmenden. Sie sind bereits seit zwei Tagen unterwegs. Heute ist die Königsetappe. Nach einem langen und technischen Aufstieg in glühender Hitze haben sie ein karges und unbesiedeltes Hochplateau erreicht. Was jetzt folgt, ist purer Genuss: Eine kilometerlange, flowige Abfahrt zurück zur Unterkunft.  Alle freuen sich auf den Downhill. Beim anschliessenden Bier werden die herausragendsten Situationen des Tages noch einmal besprochen. ERklommene Anstiege werden noch etwas steiler beschrieben und der leichte Sturz eines Teilnehmer wird zum spektakulären Stunt hinaufstilisiert...
575;5988557805b8c506dab36034;erwachsene-pixabay-01_gipfel1.jpg;Obwohl man nur die Silhouette der Frau erkennen kann strahlt sie eine gelassene Heiterkeit aus. Die Farben der Umgebung strahlen für mich eine wahnsinnige Ruhe aus;Stolz, Mut, Erleichterung, Harmonie, es ist geschafft Etwas für mich tun;Etwas schaffen, an sich glauben.  Die Berge und die Landschaft / Farben strahlen Ruhe aus.    Mutig sein und etwas wagen, dann wird man belohnt              ;Ich habe an mich geglaubt und den CAS trotz Neugeborenem in Angriff genommen. Jetzt geht es weiter mit dem MAS und auch das werde ich schaffen. ;Da ich sehr müde bin fällt die Geschichte etwas kürzer aus.  Auf dem Gipfel angekommen wird die Frau von einem unglaublichen Glücksgefühl überrascht. Freude und Stolz breiten sich im Körper aus. Die Landschaft liegt ihr zu Füssen. Die Wanderung war anstrengend aber es hat sich gelohnt. Die Aussicht ist atemberaubend. Die Stimmung ist wunderschön. Ist es erst Morgen? Vielleicht ist sie um 4 Uhr los um den Sonnenaufgang zu sehen. Sie geniesst den Augenblick, denn er gehört nur ihr alleine und sie kann stolz auf sich sein diesen Aufstieg gemeistert zu haben.  Ich denke sie ist in einer Gruppe unterwegs, sie gratulieren sich gegenseitig, geniessen die traumhafte Kulisse, trinke Kaffee aus der Thermosflasche und essen ihren Proviant, dann geht es wieder an den Abstieg. 
576;5c9558a19fdb053780122eaf;landschaft-pixabay-5_steinbruecke.jpg;Ruhe, Harmonie, Fantasie, Entpannung, Wasser, Rauschen, Natur, Kraft;Entspannung, Ruhe, Akzeptanz, Wohlbefinden, positive Energie;Gelassenheit, Zuhören, Öffnen, Geniessen, Bewegung, Akzeptieren;Energie auftanken, Abgrenzen, ruhig bleiben, Abschalten;Ich war heute arbeiten und bin vor einer Stunde nach Hause gekommen. Nach dem Essen möchte ich noch ein wenig laufen gehen als Ausgleich. In der Nähe unserer Wohnung gibt es einen Wald. Das ist mir wichtig. Nachdem ich etwas gelaufen bin, besuche ich meinen Lieblingsplatz.   An der alten Brücke kommen um diese Uhrzeit nur wenige Leute vorbei. Deshalb setze ich mich auf die Treppe und schaue dem Wasser zu. Das Geräusch, das Grün um mich und die Geräusche des Waldes beruhigen und entspannen mich.   Mit aufgetankter Energie kann ich nach Hause zurückkehren.
577;5b2d0d2505b8c51999aa1682;fortbewegung-pixabay-au06_fiat500.jpg;;;;;
578;5c9348f29fdb05101b9d481b;fortbewegung-pixabay-sr03_skater_sonne.jpg;Skateboard, Gelassenheit, Freude, Entspanntheit;Freude, Wehmut, Entspanntheit, Vertrautheit;Freude, Unabhängigkeit, eigenen Weg mit Leichtigkeit gehen, flexibel sein, selbstbestimmt, unkonventionell, ;mehr wieder unkonventionelle Ideen verfolgen, etwas machen, das Freude macht;Dieser junge Mann skatet einer Strandpromenade entlang. Sein Gefühl ist Freude, Leichtigkeit und Freiheit. Er kommt vielleicht aus der Universität, wo er studiert. Jetzt will er mit seinen Freunden zusammen sein. Er ist auf dem Weg dahin. Es ist warm und die Stimmung entspannt. Der junge Mann hat ganz viele Möglichkeiten und er lässt sich nicht einschränken. Er geht seinen Weg der Freude und tut, was sein Herz gerade will, ist ganz unbekümmert und selbstbewusst. 
579;5b0bcdd005b8c5626de94e6e;fortbewegung-pixabay-wa06_kayak.jpg;Der Entscheid ist gefallen, Ruhe kehrt ein, mit Zuversicht wird er vorwärtsgehen im Vertrauen auf sich und Gott;Entspannung nach Anspannung mit Zuversicht für das Zukünftige;Zuversicht, dass es gut kommen wird und alles vorhanden ist, was es braucht;altes zurücklassen und Schritte wagen;Eine wichtige Entscheidung ist getroffen und der Tag neigt sich dem Ende zu. Er möchte sich entspannen und steigt in sein Kajak. Mit gleichmässigen Zügen und in sonst totaler Stille durchschneidet sein Boot das Wasser in Richtung der untergehenden Sonne. Müde aber mit dem guten Gefühl die richtige Entscheidung getroffen zu haben entspannt er sich immer mehr. Es sind noch nicht alle Schritte klar, die er gehen muss. Aber er ist sicher, dass die Richtung stimmt und sich alles ergeben wird. Auf sich und Gott vertrauend rudert er seiner Zukunft entgegen.
580;5c98ef659fdb05239021f67e;fortbewegung-pixabay-au05_vwbus.jpg;Freiheit, Ferien, Reisen;Freiheit, Unabhängigkeit, Selbstbestimmung, Freude, Spass, Liebe;selbstbestimmt handeln, genügend Zeit für sich selbst, unterwegs sein, neue Länder kennenlernen;"selbstbestimmt handeln; mir die Zeit und Abklärungen machen, damit ich richtige Entscheide fälle; die richtigen Prioritäten setzen; welche verschiedenen Dinge will ich in meinem Leben erleben";Der Reisende bzw. die Reisenden haben soeben rasch den VW-Campingbus verlassen, um sich zur Abkühlung am Strand einen frisch gepressten Fruchtsaft und ein Eis zu besorgen. Zuvor waren die Reisenden mehrere Stunden mit dem Campingbus vom Norden Richtung Süden unterwegs. Als nächstes werden sich die Reisenden auf die Suche nach einem schönen Campingplatz an schöner Lage machen. Nach Ankunft auf dem Campingplatz, gehen die Reisenden am Strand eine Runde joggen und geniessen von der Strandbar aus den Sonnenuntergang bevor sie sich in einem guten Restaurant kulinarisch verwöhnen lassen. Alle sind glücklich, im Wissen, dass die 1-jährige Reise mit dem Campingbus quer durch Europa und vielleicht noch weiter erst gerade begonnen hat.
581;5c9a052a9fdb050adab8aff5;fortbewegung-mv-lu01_48_Flieger_in_der_Luft.jpg;Übersicht bewahren, Übung, Kunstfliegen, Turbulenzen;Freiheit, Leichtigkeit;;;
582;5c9cf6b29fdb051b92f23eb3;fortbewegung-mv-xd01_1U2A5839.jpg;London, wilde Zeiten, Städtetrips mit Freunden, Freundin in die Arme nehmen, küssen, betrunken sein, Ruhe;Es beruhigt mich, löst aber auch viele unzusammenhängende Erinnerungen aus ;Beruhigend, Neugierig, Zuverlässig, Stärke;Beruhigend: Ich habe das Gefühl, dass ich, in schwierigen Situationen, entspannter reagiere als früher. Neugierig: Dies hat leider abgenommen, aber das Bild löst dieses Bedürfnis wieder stärker aus Zuverlässigkeit: Es ist mir wichtiger als früher Abmachungen einzuhalten Stärke: Ich denke, dass ich in einem guten Alter bin, meinen Körper gut kenne, ihm auch viel zumute, aber weiss wo meine Grenzen sind. ;Ich habe dieses Bild wohl gewählt weil hier genau gar nichts passiert. Ich finde Orte welche ansonsten sehr stark belebt sind, haben eine besondere Ausstrahlung wenn sie verlassen sind. Nach 18 Stunden Dauereinsatz bekommt die Treppe ihre verdiente Ruhe. Sie hat Zeit den Tag mit all den abertausenden Gedanken der Menschen welche sie transportiert hat zu verarbeiten. Hat Zeit sich über komische Situationen zu amüsieren und auch an die Menschen zu denken, welche heute traurig, nachdenklich, einsam über sie hinweg geschritten sind. Wenn die letzte U-Bahn gefahren ist freut sie sich darauf, dass sie gleich geputzt wird und sich nun nicht mehr bewegen muss. Seit sie sich im klaren ist, dass wirklich jeder Tag gleich abläuft, freut sie sich auf immer aufs Neue auf jeden Teil davon. Sie ist übrigens ebenso irritiert über die glatte Oberfläche der beiden äusseren Spuren wie der Schreiber. Aber sie ist ja nur eine Treppe und er nur ein Schreiber. 
583;5583e5d87a68616fe9001ccc;landschaft-mv-05_36_Grosser_Mythen.jpg;Es ist eine schöne Landschaft, vielleicht in der Schweiz, in einem Sonnenuntergang;Es errinnert mich an viele Momente die ich in den Bergen geniessen konnte. Aber auch an Momente, die ich nicht in den Bergen war, aber eine ähnliche Stimmung erleben durfte. ;Ich glaube es geht um den Moment geniessen, Abschalten, aber auch die Kompetenz die kleinen Dinge im Leben geniessen zu können.  Es geht aber auch um Moment mit Freunden an einem schönen Ort. Es geht um Gemeinschaft, gute Gespräche und auch ein Stück weit um Geborgenheit. In solchen Momenten kann ich noch lange davon zehren. ;Leider zu wenig. ;Es errinert mich etwas an einen Ferienaufenthalt, den ich vor ein paar Jahren hatte. Ich kann mir folgende Geschichte vorstellen. Ein junges Paar hat sich eine mehrtägige Wanderung begeben, die sie durch diese herrliche Berglandschaft führt. Nach dem zweiten Tag haben Sie nach einer langen Wanderung die Hütte gefunden und sich nach Nachtessen noch vor die Hütte gesetzt und um den Sonnenuntergang zu geniessen. Der Moment schien zwar schön zu sein, aber das Paar war sich nicht bewusst, dass Ihnen dieser Moment noch lange in Errinnerung bleiben sollte. Denn Sie hatten an diesem Abend an dieser Stelle ein Wette abgeschlossen. Die Wette schien harmlos, hatte dann aber im weiteren Verlauf des Geschehens grosse Folgen. 
584;5c9f7a619fdb05786467a22d;landschaft-mv-03_14_Mitternachtssonne_Ausblick.jpg;Wow, diese Farben! Ruhe, Natur, Weite, weg von Lärm und Gestank, auftanken, lieber zu zweit als alleine hier oben;Staunen, Freude, Dankbarkeit, Einsamkeit;es zeigt mir etwas von Gottes Grösse, ich bin ein Teil dieser Schöpfung, darf mich daran erfreuen;;Ich bin mit meinem Mann in den Ferien und hier haben wir eine Wanderung zu diesem tollen Aussichtspunkt gemacht. Es ist späterer Nachmittag, herrlich warmes Wetter und wir sind ziemlich erschöpft hier oben angekommen. Die Aussicht entschädigt für alle Mühe. Wir setzen uns auf eine Decke und packen unsere Sandwiches aus. Da zaubert mein Mann noch eine Flasche Wein und 2 Gläser aus seinem Rucksack und wir geniessen ein herrliches Picknick. In der Ferne im Meer bewegt sich etwas, es könnten Delphine sein, ein Schwarm Vögel zieht vorbei. Bevor die Sonne  untergeht und ich zu frösteln anfange, beginnen wir mit dem Abstieg. In kurzer Zeit sind wir am Ausgangspunkt angelangt, steigen ins Auto und fahren zurück zu unserem Hotel. Wir  lassen uns das Abendessen schmecken, bevor wir zufrieden und müde ins Bett fallen.
585;5c9d060c9fdb051b92f23f40;landschaft-mv-05_36_Grosser_Mythen.jpg;Freiheit;;;;
586;5b86f05105b8c53b07d9d2b1;erwachsene-pixabay-01_gipfel1.jpg;es geschafft zu haben und im Einklang mit sich und der Natur (Umgebung) zu sein;Erleichterung, Ruhe, Selbstzufriendenheit;die ausgebreiteten Arme der Person auf dem Bild - ich habe es geschafft, bin dankbar und freue mich darüber;mir bewusst sein, dass ich auch schon einiges erreicht habe - und noch erreichen werde;"das Buld steht stellvertretend für das Geniessen des Erfolges - nach hartem Anstieg hat die Person auf dem Bild den Gipfel erreicht und ist in genau dem Moment im Einklang mit sich und der wunderbaren Natur, die sie umgibt; als nächstes wird die Person den Abstieg antreten und die Erfahrungen und den Glücksmoment nach dem Erreichen des Gipfels (euphorisiert) mitnehmen"
587;5baa6dc405b8c52c8e4e11e9;landschaft-mv-05_36_Grosser_Mythen.jpg;Ruhe, Natur, Farbenspiel, jeden Tag anders, kühl, frisch, Weitblick, zeitlos;"Entspannung, ""Entschleunigung"", Heimat, ""perfekte- heile"" Welt, Schönheit, Zufriedenheit";Schattenspiel der Sonne an den Felsen, Erinnerung an viele schöne Bergtouren, das Wissen über die Möglichkeit mit Ausdauer und Vertrauen Ziele zu erreichen. Blick von oben/ Ferne über die aktuelle Situation (Metaebene), frische Luft und Ruhe- Nähe zur Natur erdet mich, gibt mir neue Energie.;Indem ich mich an einen ähnlichen Ort begebe.  Wenn dies nicht möglich ist, könnte ich anhand einer Meditation und der Vorstellung des Bildes zur Ruhe kommen/ Energie tanken.;Nach einer sternenklaren und eher kalten Nacht kitzeln die ersten Sonnenstrahlen die Bergspitzen in einem kleinen hügeligen Land. Ein leichter Wind versetzt die Gräser in einen morgendlichen Tanz und im nah gelegenen Wald sind erste Klänge der Vögel zu hören. Auf diesem Hügelplateau sitzt ein Wolf, welcher sich die letzten Resten seiner Beute von den Lefzen leckt. Er pirschte sich einige Stunden zuvor an ein Rudel Gämsen, welche in der Morgendämmerung am Grashügel frassen. Seine Jagd war ihm ein leichtes, da er sich die Windrichtung zu Nutzen machte und die Gämsen bereits einige Minuten zuvor beobachtete. Nun wird es Zeit, dass sich der Wolf zielstrebig in den Wald verzieht, bevor die ersten Wanderer den Weg über das Hügelplateau finden und somit die natürliche Ruhe der Wildnis vorbei ist.
588;5c9d22769fdb051b92f240e0;tiere-pixabay-6_loewe.jpg;Das ist mein altes Symbolbild. Ich habe mich seit jeher mit dem Löwen identifiziert und ich muss zurück zu meiner alten Stärke!;Sehnsucht nach dem kindlichen Glück, Stolz auf mich selbst;Der Löwe ist mein ältestes Sinnbild für mich selbst. Ich bin das. Ich muss niemandem etwas erklären, meine Kraft und Majestät sind mein Geburtsrecht!;Ich kann einfach auf mich vertrauen. Ich habe so viele Erfahrungen gemacht, dass ich jetzt wieder zu dieser alten Stärke zurückkehren darf.;Der Löwe hat gerade Feinde vertrieben die sein Rudel gefährdet haben. Er hat sein Rudel verteidigt und genießt nun seinen Erfolg und den Frieden. 
589;5ca714559fdb0574c282fd0d;fortbewegung-pixabay-au05_vwbus.jpg;Ich verbinde mit dem Bild meine Zeit in Neuseeland, wo ich mit einer Kollegin auch in einem Campervan gereist bin. Diese Zeit verbinde ich mit Freiheit und Spontanität. ;Glücksgefühle, da ich das Bild mit einer tollen Erfahrung assoziiere. ;Der Campervan ist für mich ein Symbol für das Unabhängige. Man kommt mit ihm schnell von Ort A nach B und hat alles dabei, was man braucht. Das Wasser, hier der Ozean, steht für Kraft und das Weite. ;Da ich während der Passerelle einen grossen Teil an Selbststudium habe, kann ich meine Zeit sehr gut frei einteilen und bin unabhängig. Das gefällt mir sehr, weil ich dann frei entscheiden kann, was ich momentan am Liebsten lernen möchte oder auch für welches Thema ich mal mehr Zeit investieren möchte und für was nicht. ;Die Sonne, welche frühmorgens am Horizont aufgeht, weckt mich durch das Fenster meines Campervans. Nachdem ich gefrühstückt habe, fahre ich an den Strand und geniesse die morgendliche Ruhe. Nach einigen Stunden beginnt sich der Stand langsam mit Leuten zu füllen. Ich beschliesse, in einem naheliegenden Kaffee mein Reisetagebuch der letzten Tage zu schreiben. Von dem Café aus schiesse ich ein Bild von meinem Campervan, welcher am Strassenrand parkiert ist, das Meer im Hintergrund. Ich komme mit anderen Reisenden ins Gespräch und wir tauschen uns über unsere Erfahrungen und Eindrücke aus. Auf ihre Empfehlung mache ich mich danach auf den Weg zu einem schönen Campingplatz, auf welchem ich die Nacht verbringen werde. Als ich draussen das Abendesse koche, frage ich mich, was ich wohl morgen alles erleben werde. 
590;5c9d0b709fdb051b92f23fb1;erwachsene-pixabay-11_paar.jpg;Nähe, Vertauen, Ausgleich, Entspannung, Natur;Ruhe, Glück, angekommen sein, Ausgeglichenheit, Zufriedenheit;Die Freude, das Vertrauen, der Ausgleich, die Gelassenheit weil Zufriedenheit mit sich selbst;Um einen Anker der Ruhe zu haben, um mich öffnen zu können, um ausgeglichener zu sein;Das Meer rauscht sanft und späte Sonnenstrahlen funkeln in der Brandung. Zwei junge Menschen genießen ihren Abendspaziergang. Hand in Hand spüren sie, wie das klare Salzwasser um ihre Füße fließt und eine erwünschte Abkühlung nach einem langen, sonnigen Tag bietet.  Das junge Paar unterhält sich schon einige Minuten, sie erzählen sich von ihrem Tag, von ihrer erfolgreichen Arbeit, was sie gemeinsam am Wochen unternehmen werden und wann sie mal wieder zusammen mit ihren freunden im Strandhaus grillen werden. Beide genießen die Ruhe, die Zeit zu zweit bei der sie einfach mal loslassen können und ihre Seelen baumeln lassen können, denn sie wissen,sie können sich alles anvertrauen. Und gerade deshalb legen sie auch solch großen Wert auf ihre Gespräche, um sich gegenseitig ein Ohr zu bieten, oder einen Rat zu geben. Oft träumen sie in ihren Strandgesprächen von ihrer gemeinsamen Zukunft, ihrem Haus, ihren gemeinsamen Freunden die vorbeischaun und auf der großen Terrasse gesellig sind, und vielleicht irgendwann auch von einem kleinen Mitbewohner, vielleicht erstmal ein Hund oder eine Katze, aber eines Tages - wer weiß - auch ein Töchterlein oder Söhnchen. Doch das liegt noch in der Zukunft, gerade spielen andere Dinge eine größere Rolle, denn erstmal wollen sie beruflich Fuß fassen, ein sicheres Standbein haben. Doch das hindert sie nicht daran Zukunftspläne zu schmieden, zu träumen.  Als nächstes werden die beiden nach Hause gehen, gemeinsam Kochen, einen ruhigen Abend genießen. Und dann freuen sie sich auf einen neuen Tag voller Energie und Freude.
591;5cac40599fdb0575b087593b;natur-pixabay-03_lila.jpg;;;;;
592;5583e6607a68616fe90039f9;relax-pixabay-01_wellness.jpg;;;;;
593;5c9cfb739fdb051b92f23f10;natur-pixabay-01_sonnenblume1.jpg;Sonne, Kraft, Energie;Ruhe, Gelassenheit;Farbe. Tattoo. langes Leben;bildliche Vorstellung;Nach vielen Wolken zeigte sich die Sonne in ihrer vollen Pracht und scheint auf die Sonnenblume, welche dadurch ihre Facetten noch mehr entfalten und ihre Kraft verbreiten kann. Ein leichter Windhauch weht, welcher zum klaren Kopf der Spaziergänger führt und durch die satten Farben der Sonnenblume noch mehr Energie verleit. Eine Spaziergängerin ist von der Stärke der Sonnenblume so angetan, dass sie sie fotografiert und Zuhause als Kraftbild ausdruckt.
594;5cae59f99fdb05517db4d4d9;relax-pixabay-02_auf_bus.jpg;unbeschwertes Leben, einfach, schlicht, farbenfroh, friedlich, Freiheit, Schönheit;Fernweh, Freude über den eigenen Caddy-Camper, Dankbarkeit, Ruhe, Gelassenheit, lebendig, harmonisch;;;Für mehrere Tage waren Paul und Paula in den Bergen - ab vom Schuss, in der Natur - wandern, schwimmen, Ruhe geniessen. Auf ihrem Roadtrip sitzt Paula auf dem Dach ihres Minibüsslis im Schatten und macht Pause und freut sich nach Tagen in der Einsamkeit wieder über Zeichen der Zivilisation.  Sie ist mit ihrem Freund für mehrere Monate unterwegs - für eine gewisse Zeit lassen die beiden ihre Jobs Jobs sein. Den Bus haben sie zu Hause in ihrer Heimat gebraucht gekauft und mit Liebe ausgebaut: schlicht, einfach, ohne Schnickschnack. Abgesehen von den paar praktischen Specialeffects, die sie eingebaut haben, um ein wenig bluffen zu können (zB die Schublade mit Selbsteinzug und Softlocksystem, bei der automatisch ein Lichtspot an geht, sobald man die Schublade auszieht). Paula und Paul lieben den Bus und das Camperleben. Sie bleiben, wenn es ihnen gefällt und sie ziehen weiter, wenn es ihnen zu langweilig wird - immer auf der Suche nach frischem Wind, Abenteuer und unberührten Plätzen. Aber jetzt müssen erst einmal die Vorräte wieder aufgefüllt werden und vielleicht springt dabei ja noch ein grosses Glace für jeden raus - Energie tanken für das nächste Abenteuer und den nächsten Kitespot. 
595;5b8e56e605b8c504e037bbe2;fortbewegung-pixabay-au05_vwbus.jpg;Sonne, Sommer, Ferien, gute Laune, Hitze, Flip Flops, Freiheit, Sonnenbrille, Salzwasser, Träumen, Abenteuer;Freude, Entspannung, Aufregung, Gelassenheit;Sonne gibt mir Wärme, Stand entspannt mich, Meer lässt meine Gedanken frei, Freiheit durch die Weite, Freude wegen Sonne, Ferien, nette Leute, Gelassenheit da keine Pläne umgesetzt werden müssen, Neugierde, was der Abend bringt, Offenheit für neue Erfahrungen, neue Menschen kennenlernen, andere Sprachen lernen, Kulturen kennenlernen;Gelassenheit hilft mir, Dinge nicht zu ernst zu nehmen, Neugierde hilft mir mich immer neuen Dingen zuzuwenden, Offenheit für Neues lässt mein Leben spannend bleiben, neue Menschen bereichern mich mit neuen Erfahrungen, Sprachen verbinden mich mit Menschen anderer Kulturen, Gedanken frei lassen hilft mir bei der Kreativität;Seit einem Jahr haben Karl und Frida auf diese Reise hin gespart und alle Zelte in Deutschland abgebrochen. Der Bus ist vollgepackt und sie sind losgefahren. Ihr Ziel ist die Küste von Portugal. Sie wollen dort surfen lernen und sich am liebsten auch niederlassen. Das Ziel ist es ohne Stress und grosse Pläne in nächster Zeit alles auf sich zukommen zu lassen. Das Geld reicht zunächst für 2 Jahre...mal sehen, was dann kommt! Sie sind nach 48 Stunden mit einigen Stopps in Frankreich und Spanien nun in Portugal angekommen, und geniessen den Ausblick auf das Meer. Vermutlich werden sie die erste Nacht sogar am Meer verbringen. Sie ziehen sich die Badesachen an und rennen zum Meer. Auf dem Rückweg bemerken sie, dass ihr Auto mit lauter Menschen belegt ist, die in das Auto hineinschauen. Als sie an ihr Auto herantreten, werden sie auf Portugiesisch angesprochen, verstehen allerdings kein Wort. Jemand fragt sie erneut auf Englisch und möchte wissen, was sie mit all den Standstühlen vorhaben. Daraufhin antwortet Frida, dass sie gerne eine Strandbar eröffnen möchten und dafür bereits die Stühle aus Deutschland mitgebracht haben. Der Fragende übersetzt das der umherstehenden Meute und übersetzt für einen der Interessierten, ob sie vielleicht mit zu seiner Strandbar kommen möchten. Er braucht dringend Stühle und vielleicht gibt es ja eine Möglichkeit, sich einig zu werden. Karl und Frida sind begeisterts und stimmen auf den Vorschlag ein. Nach kurzem Abtrocknen und Überwurf von leichter Kleidung steigen sie in ihren Bus ein, nun aber gemeinsam mit ihrem neuen Freund, der sie zu sich in die Bar eingeladen hat und fahren dort hin.
