;TargetFeature;InputFeature;BestAlgorithm;R^2;Accuracy
48;49;"neurotizismusCategory| extraversionCategory| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik";KNN Classifier, Degree: 3;1,0;1,0
49;50;offenheitCategory| gewissenhaftigkeitCategory| registration_age| job_status_employed_parttime| job_status_employed_fulltime| job_status_houskeeping| registration_ageKat_50-59| work_district_BE| work_district_ZH| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_250.0| educational_achievement_Doktorat, Habilitation| nature| mobility| reasons_translation_sentimentCategory| reasons_translation_joyCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_sadnessCategory| emotions_translation_joyCategory| emotions_translation_fearCategory| emotions_translation_disgustCategory| emotions_translation_angerCategory| strengths_translation_joyCategory| strengths_translation_disgustCategory| strengths_translation_angerCategory| utilization_translation_sentimentCategory| story_translation_joyCategory| story_translation_fearCategory| story_translation_disgustCategory;Random Forest Classifier;1,0;1,0
50;51;offenheitCategory| gewissenhaftigkeitCategory| job_status_employed_parttime| job_status_houskeeping| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| educational_achievement_Doktorat, Habilitation| reasons_translation_sentimentCategory| reasons_translation_joyCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;Random Forest Classifier;1,0;1,0
51;52;neurotizismusCategory| extraversionCategory| vertraeglichkeitCategory| gewissenhaftigkeitCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Information und Kommunikation| mobility| reasons_translation_joyCategory| strengths_translation_joyCategory| strengths_translation_fearCategory| utilization_translation_sentimentCategory;Logistic Regression;1,0;1,0
52;53;offenheitCategory| gewissenhaftigkeitCategory| job_status_houskeeping| registration_ageKat_40-49| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| educational_achievement_Doktorat, Habilitation| educational_achievement_Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom| reasons_translation_sentimentCategory| reasons_translation_joyCategory| reasons_translation_angerCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;Logistic Regression;1,0;1,0
53;54;"neurotizismusCategory| extraversionCategory| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| work_district_ZH| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| utilization_translation_fearCategory| utilization_translation_disgustCategory| story_translation_fearCategory| story_translation_disgustCategory";KNN Classifier, Degree: 2;1,0;1,0
54;55;neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| mobility| strengths_translation_fearCategory| utilization_translation_fearCategory| utilization_translation_disgustCategory;Random Forest Classifier;1,0;1,0
55;56;neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| mobility| strengths_translation_fearCategory| utilization_translation_fearCategory| utilization_translation_disgustCategory;Random Forest Classifier;1,0;1,0
56;57;"offenheitCategory| gewissenhaftigkeitCategory| registration_age| job_status_edu_parttime| job_status_employed_parttime| job_status_employed_fulltime| job_status_houskeeping| registration_ageKat_50-59| work_district_BE| work_district_ZH| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_250.0| educational_achievement_Doktorat, Habilitation| nature| mobility| reasons_translation_sentimentCategory| reasons_translation_joyCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_joyCategory| strengths_translation_fearCategory| utilization_translation_sentimentCategory| story_translation_joyCategory| story_translation_fearCategory| story_translation_disgustCategory";Random Forest Classifier;1,0;1,0
57;58;neurotizismusCategory| extraversionCategory| registration_ageKat_30-39| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_9.0| educational_achievement_Doktorat, Habilitation| reasons_translation_sentimentCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| utilization_translation_fearCategory| story_translation_joyCategory;Random Forest Classifier;1,0;1,0
58;59;neurotizismusCategory| extraversionCategory| registration_age| job_status_edu_parttime| job_status_employed_parttime| job_status_employed_fulltime| job_status_houskeeping| registration_ageKat_30-39| registration_ageKat_50-59| work_district_GR| work_district_ZH| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_250.0| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| mobility| strengths_translation_joyCategory| strengths_translation_fearCategory| story_translation_fearCategory| story_translation_disgustCategory;Random Forest Classifier;1,0;1,0
59;60;"vertraeglichkeitCategory| job_status_edu_parttime| job_status_houskeeping| gender_f| gender_m| registration_ageKat_50-59| work_district_GR| work_district_ZH| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Doktorat, Habilitation| animal| nature| emotions_translation_sentimentCategory| utilization_translation_angerCategory| story_translation_sentimentCategory| story_translation_sadnessCategory| story_translation_fearCategory| story_translation_disgustCategory| story_translation_angerCategory";Random Forest Classifier;1,0;1,0
60;61;offenheitCategory| gewissenhaftigkeitCategory| job_status_employed_parttime| job_status_houskeeping| work_district_GR| job_position_Sachbearbeiter/-in| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| company_size_249.0| educational_achievement_Doktorat, Habilitation| reasons_translation_sentimentCategory| reasons_translation_joyCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;Random Forest Classifier;1,0;1,0
61;62;"vertraeglichkeitCategory| job_status_edu_parttime| job_status_houskeeping| gender_f| gender_m| registration_ageKat_50-59| work_district_GR| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Doktorat, Habilitation| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| animal| reasons_translation_fearCategory| utilization_translation_disgustCategory| utilization_translation_angerCategory| story_translation_sentimentCategory| story_translation_sadnessCategory| story_translation_angerCategory";Random Forest Classifier;1,0;1,0
62;63;offenheitCategory| gewissenhaftigkeitCategory| job_status_employed_parttime| job_status_houskeeping| registration_ageKat_50-59| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_9.0| educational_achievement_Doktorat, Habilitation| educational_achievement_Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom| mobility| reasons_translation_sentimentCategory| reasons_translation_sadnessCategory| reasons_translation_joyCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;Logistic Regression;1,0;1,0
63;64;extraversionCategory| registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_50-59| work_district_LU| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| mobility| reasons_translation_joyCategory| strengths_translation_fearCategory;Random Forest Classifier;1,0;1,0
64;65;offenheitCategory| gewissenhaftigkeitCategory| job_status_houskeeping| work_district_GR| job_position_Sachbearbeiter/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Information und Kommunikation| educational_achievement_Doktorat, Habilitation| mobility| reasons_translation_sentimentCategory| reasons_translation_joyCategory| reasons_translation_fearCategory| reasons_translation_angerCategory| emotions_translation_angerCategory| utilization_translation_sentimentCategory| utilization_translation_fearCategory| story_translation_joyCategory;Random Forest Classifier;1,0;1,0
65;66;offenheitCategory| vertraeglichkeitCategory| gewissenhaftigkeitCategory| job_status_houskeeping| gender_f| gender_m| registration_ageKat_50-59| work_district_GR| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_9.0| reasons_translation_fearCategory| reasons_translation_angerCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| utilization_translation_sentimentCategory;Random Forest Classifier;1,0;1,0
66;67;registration_age| job_status_edu_parttime| job_status_houskeeping| registration_ageKat_50-59| job_position_Fachspezialist/-in| job_sector_Energieversorgung| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Information und Kommunikation| educational_achievement_Bachelor| mobility| strengths_translation_joyCategory;KNN Classifier, Degree: 3;1,0;1,0
67;68;job_status_edu_parttime| job_status_selfemployed| work_district_AG| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| job_sector_Erbringung von sonstigen Dienstleistungen| company_size_9.0| story_translation_fearCategory;SVC (polynomial), Degree: 2;-0,13289036544850497;0,5806451612903226
68;69;neurotizismusCategory| vertraeglichkeitCategory| work_district_GR| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| educational_achievement_Doktorat, Habilitation| emotions_translation_angerCategory| strengths_translation_sentimentCategory;Logistic Regression;0,05910543130990442;0,4838709677419355
69;70;offenheitCategory| vertraeglichkeitCategory| job_status_edu_parttime| gender_f| gender_m| job_sector_Gastgewerbe/Beherbergung und Gastronomie| company_size_249.0| educational_achievement_Doktorat, Habilitation| human| nature| reasons_translation_sentimentCategory| reasons_translation_sadnessCategory| reasons_translation_joyCategory| reasons_translation_disgustCategory| emotions_translation_sadnessCategory| emotions_translation_joyCategory| emotions_translation_fearCategory| strengths_translation_joyCategory| story_translation_joyCategory;KNN Classifier, Degree: 7;0,24757281553398047;0,7096774193548387
70;71;job_status_houskeeping| job_status_unemployed| gender_f| gender_m| work_district_GR| job_position_untere Führungsstufe (z.B. Teamleitung)| company_size_1.0| educational_achievement_Bachelor| educational_achievement_Berufliche Grundbildung| emotions_translation_sentimentCategory;KNN Classifier, Degree: 5;-0,6366459627329193;0,5806451612903226
71;72;"registration_ageKat_40-49| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_49.0| educational_achievement_Bachelor| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| food| emotions_translation_sentimentCategory| emotions_translation_fearCategory| emotions_translation_disgustCategory| story_translation_sentimentCategory| story_translation_sadnessCategory";KNN Classifier, Degree: 2;-0,006493506493506773;0,6451612903225806
72;73;vertraeglichkeitCategory| job_status_edu_parttime| job_sector_Gastgewerbe/Beherbergung und Gastronomie| company_size_249.0| animal;SVC (polynomial), Degree: 1;-0,08771929824561409;0,6774193548387096
73;74;"neurotizismusCategory| work_district_AG| work_district_TG| job_sector_Handel; Instandhaltung und Reparatur von Kraftfahrzeugen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_249.0| company_size_250.0| food| emotions_translation_fearCategory| emotions_translation_disgustCategory| emotions_translation_angerCategory| story_translation_joyCategory";Random Forest Classifier;-0,21193415637860102;0,6774193548387096
74;75;"work_district_AG| job_position_Fachspezialist/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Gastgewerbe/Beherbergung und Gastronomie| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| reasons_translation_sadnessCategory| reasons_translation_joyCategory| reasons_translation_fearCategory| reasons_translation_disgustCategory| reasons_translation_angerCategory| strengths_translation_sadnessCategory| utilization_translation_disgustCategory";KNN Classifier, Degree: 4;0,08255451713395623;0,6774193548387096
75;76;registration_ageKat_30-39| registration_ageKat_40-49| work_district_AG| work_district_BL| work_district_LU| work_district_ZH| job_position_Fachspezialist/-in| job_position_Sachbearbeiter/-in| human| mobility| food| strengths_translation_angerCategory| utilization_translation_fearCategory| story_translation_sentimentCategory| story_translation_sadnessCategory| story_translation_fearCategory| story_translation_disgustCategory| story_translation_angerCategory;KNN Classifier, Degree: 8;0,261904761904762;0,8709677419354839
76;77;offenheitCategory| job_status_selfemployed| registration_ageKat_40-49| registration_ageKat_50-59| work_district_AG| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Erbringung von sonstigen Dienstleistungen| nature| mobility| emotions_translation_sentimentCategory| utilization_translation_sadnessCategory;SVC (polynomial), Degree: 1;-0,00813008130081272;0,5806451612903226
77;78;"registration_age| registration_ageKat_30-39| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Doktorat, Habilitation| human| strengths_translation_joyCategory";KNN Classifier, Degree: 1;-0,16716867469879504;0,5806451612903226
78;79;job_status_selfemployed| gender_f| gender_m| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Gastgewerbe/Beherbergung und Gastronomie| human| story_translation_sentimentCategory;Logistic Regression;0,12458471760797352;0,5483870967741935
79;80;"work_district_AG| work_district_ZH| job_position_obere Führungsstufe (z.B. Geschäftsleitung / CEO)| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_9.0| educational_achievement_Doktorat, Habilitation| human| animal| nature| food| emotions_translation_sadnessCategory| strengths_translation_joyCategory| strengths_translation_fearCategory| story_translation_sentimentCategory| story_translation_sadnessCategory| story_translation_fearCategory| story_translation_angerCategory";Gaussian Naive Bayes;-0,4006024096385541;0,6129032258064516
80;81;"job_status_edu_parttime| job_status_employed_parttime| job_status_employed_fulltime| gender_f| gender_m| registration_ageKat_30-39| registration_ageKat_40-49| job_sector_Gastgewerbe/Beherbergung und Gastronomie| job_sector_Gesundheits- und Sozialwesen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| food| emotions_translation_sentimentCategory| strengths_translation_joyCategory| strengths_translation_angerCategory| utilization_translation_disgustCategory| story_translation_sadnessCategory";SVC (linear);-0,050000000000000044;0,6129032258064516
81;82;neurotizismusCategory| gewissenhaftigkeitCategory| job_status_edu_parttime| job_status_employed_parttime| job_status_unemployed| gender_f| gender_m| educational_achievement_Berufliche Grundbildung| educational_achievement_Doktorat, Habilitation| reasons_translation_sentimentCategory| reasons_translation_fearCategory| emotions_translation_sentimentCategory| utilization_translation_sadnessCategory| story_translation_sentimentCategory| story_translation_joyCategory| story_translation_disgustCategory;KNN Classifier, Degree: 9;-0,014545454545454639;0,7096774193548387
82;83;"neurotizismusCategory| gender_f| gender_m| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| nature| reasons_translation_sadnessCategory| emotions_translation_sentimentCategory";Logistic Regression;0,411392405063291;0,7096774193548387
83;84;"extraversionCategory| job_status_employed_parttime| job_status_unemployed| registration_ageKat_50-59| work_district_GR| job_position_Sachbearbeiter/-in| job_position_obere Führungsstufe (z.B. Geschäftsleitung / CEO)| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Baugewerbe/Bau| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| human| emotions_translation_sentimentCategory";Logistic Regression;0,2272727272727273;0,7419354838709677
84;85;extraversionCategory| registration_ageKat_50-59| work_district_GR| job_sector_Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen| company_size_9.0| educational_achievement_Doktorat, Habilitation| reasons_translation_angerCategory| emotions_translation_sadnessCategory| story_translation_sadnessCategory;SVC (polynomial), Degree: 1;0,3072625698324023;0,7419354838709677
85;86;"vertraeglichkeitCategory| job_status_employed_parttime| gender_f| gender_m| work_district_GR| work_district_ZH| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| mobility| reasons_translation_sentimentCategory| emotions_translation_sentimentCategory| emotions_translation_fearCategory| emotions_translation_angerCategory| story_translation_joyCategory| story_translation_fearCategory| story_translation_disgustCategory";KNN Classifier, Degree: 5;0,3192567567567568;0,7741935483870968
86;87;extraversionCategory| job_status_employed_parttime| job_status_houskeeping| job_status_unemployed| gender_f| gender_m| country_CH| work_district_BS| job_position_Sachbearbeiter/-in| job_sector_Baugewerbe/Bau| educational_achievement_Berufliche Grundbildung;KNN Classifier, Degree: 7;0,2983539094650207;0,7419354838709677
87;88;"vertraeglichkeitCategory| gewissenhaftigkeitCategory| job_status_employed_parttime| job_status_unemployed| work_district_GR| job_position_obere Führungsstufe (z.B. Geschäftsleitung / CEO)| job_sector_Baugewerbe/Bau| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Doktorat, Habilitation| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| emotions_translation_sentimentCategory| utilization_translation_sentimentCategory| story_translation_sentimentCategory| story_translation_sadnessCategory| story_translation_fearCategory";Logistic Regression;0,057432432432432456;0,6129032258064516
88;89;job_status_edu_parttime| job_status_selfemployed| gender_f| gender_m| job_sector_Gastgewerbe/Beherbergung und Gastronomie| company_size_1.0| educational_achievement_Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom| reasons_translation_joyCategory| emotions_translation_joyCategory;SVC (polynomial), Degree: 2;0,09883720930232565;0,7741935483870968
89;90;"job_status_edu_parttime| job_status_houskeeping| gender_f| gender_m| work_district_ZH| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_49.0| company_size_9.0| educational_achievement_Bachelor| educational_achievement_Doktorat, Habilitation| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| educational_achievement_Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom| human| emotions_translation_sentimentCategory| emotions_translation_joyCategory| story_translation_sentimentCategory| story_translation_sadnessCategory| story_translation_fearCategory| story_translation_disgustCategory| story_translation_angerCategory";KNN Classifier, Degree: 7;-0,3388704318936875;0,5483870967741935
90;91;extraversionCategory| job_status_unemployed| gender_f| gender_m| registration_ageKat_50-59| work_district_BS| work_district_ZH| educational_achievement_Berufliche Grundbildung| nature| reasons_translation_joyCategory| reasons_translation_disgustCategory| emotions_translation_fearCategory| emotions_translation_disgustCategory| emotions_translation_angerCategory| strengths_translation_sentimentCategory| strengths_translation_fearCategory;KNN Classifier, Degree: 3;-0,1465753424657532;0,7096774193548387
91;92;"job_status_edu_parttime| work_district_BS| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Gesundheits- und Sozialwesen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_1.0| company_size_49.0| company_size_9.0| educational_achievement_Doktorat, Habilitation| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| educational_achievement_Höhere Fachschule lusive Nachdiplome| reasons_translation_disgustCategory| emotions_translation_sentimentCategory| utilization_translation_sadnessCategory";SVC (linear);0,09883720930232576;0,6451612903225806
92;93;job_status_houskeeping| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Gastgewerbe/Beherbergung und Gastronomie| job_sector_Gesundheits- und Sozialwesen| company_size_49.0| educational_achievement_Berufliche Grundbildung| educational_achievement_Höhere Fachschule lusive Nachdiplome| emotions_translation_sentimentCategory| strengths_translation_joyCategory| utilization_translation_disgustCategory;KNN Classifier, Degree: 8;0,05555555555555558;0,5483870967741935
93;94;vertraeglichkeitCategory| job_status_unemployed| gender_f| gender_m| registration_ageKat_50-59| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Erziehung und Unterricht| company_size_249.0| educational_achievement_Doktorat, Habilitation| nature| reasons_translation_disgustCategory| emotions_translation_fearCategory| emotions_translation_angerCategory;KNN Classifier, Degree: 8;0,5331325301204819;0,7741935483870968
94;95;offenheitCategory| job_status_edu_parttime| job_status_houskeeping| work_district_GR| work_district_SG| company_size_249.0| company_size_250.0| educational_achievement_Doktorat, Habilitation| nature| mobility| food| emotions_translation_fearCategory| strengths_translation_sadnessCategory| story_translation_disgustCategory| story_translation_angerCategory;SVC (polynomial), Degree: 3;0,4444444444444444;0,6774193548387096
95;96;"job_status_edu_parttime| job_status_employed_parttime| job_status_houskeeping| job_status_unemployed| country_CH| country_DE| country_IT| work_district_AG| work_district_BS| work_district_TG| work_district_ZG| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| story_translation_fearCategory| story_translation_disgustCategory| story_translation_angerCategory";SVC (polynomial), Degree: 2;0,562146892655367;0,9354838709677419
96;97;"registration_age| job_status_employed_fulltime| work_district_AG| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Baugewerbe/Bau| job_sector_Gastgewerbe/Beherbergung und Gastronomie| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| company_size_250.0| company_size_9.0| human| reasons_translation_sentimentCategory| reasons_translation_joyCategory| emotions_translation_sentimentCategory| emotions_translation_joyCategory| strengths_translation_sadnessCategory| story_translation_sentimentCategory| story_translation_sadnessCategory| story_translation_fearCategory| story_translation_disgustCategory| story_translation_angerCategory";SVC (polynomial), Degree: 1;0,33571428571428585;0,8064516129032258
97;98;registration_ageKat_20-29| work_district_SO| work_district_TG| work_district_ZG| job_position_mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung)| job_sector_Erbringung von sonstigen Dienstleistungen| job_sector_Erziehung und Unterricht| job_sector_Kunst, Unterhaltung und Erholung;Gaussian Naive Bayes;-0,33161512027491424;0,5806451612903226
98;99;"extraversionCategory| job_status_employed_parttime| job_status_employed_fulltime| gender_f| gender_m| registration_ageKat_40-49| country_DE| job_sector_Erziehung und Unterricht| job_sector_Verarbeitendes Gewerbe/Herstellung von Waren| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| educational_achievement_Doktorat, Habilitation| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| human| mobility| emotions_translation_sentimentCategory| strengths_translation_sadnessCategory| story_translation_sentimentCategory| story_translation_sadnessCategory";Logistic Regression;0,09415584415584388;0,6129032258064516
99;100;job_status_edu_parttime| job_status_employed_parttime| job_status_houskeeping| job_status_unemployed| work_district_BE| job_position_Fachspezialist/-in| job_position_mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung)| job_sector_Baugewerbe/Bau| job_sector_Erbringung von sonstigen Dienstleistungen| educational_achievement_Bachelor| emotions_translation_sentimentCategory| strengths_translation_joyCategory| strengths_translation_fearCategory| utilization_translation_disgustCategory;KNN Classifier, Degree: 6;-0,37777777777777755;0,6129032258064516
100;101;job_status_employed_parttime| job_status_houskeeping| gender_f| gender_m| job_position_Fachspezialist/-in| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| educational_achievement_Bachelor| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| food| emotions_translation_sentimentCategory| utilization_translation_disgustCategory;Logistic Regression;-0,13289036544850474;0,6774193548387096
101;102;"extraversionCategory| registration_age| job_status_employed_parttime| registration_ageKat_30-39| registration_ageKat_40-49| country_CH| work_district_SG| job_position_untere Führungsstufe (z.B. Teamleitung)| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| job_sector_Gastgewerbe/Beherbergung und Gastronomie| job_sector_Öffentliche Verwaltung, Verteidigung; Sozialversicherung| human| reasons_translation_sentimentCategory| reasons_translation_fearCategory| emotions_translation_sentimentCategory| emotions_translation_fearCategory| strengths_translation_sadnessCategory| strengths_translation_joyCategory| strengths_translation_angerCategory| utilization_translation_sadnessCategory| story_translation_sadnessCategory| story_translation_joyCategory";Ridge Regression;0,6075949367088607;0,6774193548387096
102;103;registration_age| work_district_LU| job_sector_Erbringung von Finanz- und Versicherungsdienstleistungen| educational_achievement_Doktorat, Habilitation| nature| emotions_translation_sentimentCategory| strengths_translation_angerCategory| story_translation_sentimentCategory| story_translation_sadnessCategory| story_translation_joyCategory| story_translation_fearCategory| story_translation_disgustCategory;KNN Classifier, Degree: 4;-0,021978021978022344;0,6129032258064516
103;104;gender_f| gender_m| work_district_GR| job_sector_Gastgewerbe/Beherbergung und Gastronomie| educational_achievement_Doktorat, Habilitation| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| food| emotions_translation_sentimentCategory| strengths_translation_joyCategory| story_translation_sentimentCategory| story_translation_sadnessCategory| story_translation_fearCategory| story_translation_disgustCategory;SVC (polynomial), Degree: 4;0,05703422053231921;0,5806451612903226
104;105;job_status_edu_parttime| job_status_employed_fulltime| registration_ageKat_30-39| work_district_GR| job_position_Fachspezialist/-in| company_size_9.0| educational_achievement_Berufs- oder Fachmaturität| educational_achievement_Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik| food| strengths_translation_fearCategory| story_translation_sentimentCategory| story_translation_fearCategory| story_translation_angerCategory;KNN Classifier, Degree: 8;-0,35964912280701755;0,5806451612903226
